iter	Passed	Remaining
415	2646	3715
416	2652	3707
417	2657	3700
418	2664	3694
419	2669	3686
420	2675	3679
421	2680	3671
422	2686	3664
423	2692	3658
424	2698	3650
425	2704	3644
426	2711	3638
427	2716	3630
428	2721	3622
429	2727	3615
430	2732	3607
431	2737	3599
432	2743	3592
433	2749	3585
434	2755	3578
435	2760	3570
436	2765	3562
437	2770	3555
438	2776	3548
439	2782	3540
440	2788	3534
441	2793	3526
442	2798	3519
443	2805	3513
444	2811	3506
445	2817	3499
446	2823	3492
447	2828	3485
448	2834	3478
449	2840	3472
450	2846	3464
451	2852	3457
452	2857	3450
453	2863	3443
454	2871	3439
455	2876	3432
456	2883	3426
457	2889	3419
458	2895	3413
459	2902	3407
460	2908	3400
461	2913	3392
462	2918	3384
463	2923	3377
464	2928	3369
465	2934	3363
466	2939	3355
467	2944	3347
468	2950	3340
469	2955	3332
470	2961	3325
471	2966	3318
472	2971	3310
473	2977	3303
474	2982	3296
475	2987	3288
476	2993	3282
477	2998	3274
478	3003	3266
479	3008	3259
480	3014	3252
481	3019	3244
482	3024	3237
483	3030	3230
484	3035	3223
485	3041	3216
486	3046	3209
487	3051	3201
488	3057	3194
489	3062	3187
490	3067	3179
491	3072	3172
492	3078	3165
493	3083	3158
494	3089	3151
495	3098	3148
496	3103	3140
497	3109	3134
498	3114	3127
499	3120	3120
500	3126	3113
501	3130	3105
502	3136	3099
503	3141	3091
504	3146	3084
505	3155	3080
506	3160	3073
507	3166	3066
508	3173	3061
509	3178	3053
510	3184	3047
511	3189	3040
512	3195	3033
513	3201	3026
514	3206	3019
515	3211	3012
516	3217	3006
517	3222	2998
518	3228	2992
519	3234	2985
520	3239	2978
521	3244	2971
522	3250	2964
523	3255	2957
524	3261	2950
525	3266	2943
526	3272	2937
527	3277	2929
528	3282	2923
529	3288	2916
530	3293	2908
531	3301	2904
532	3306	2897
533	3313	2891
534	3318	2884
535	3324	2877
536	3330	2871
537	3336	2865
538	3342	2858
539	3349	2853
540	3354	2846
541	3360	2839
542	3367	2834
543	3375	2829
544	3381	2823
545	3387	2816
546	3394	2810
547	3399	2803
548	3404	2797
549	3412	2792
550	3420	2787
551	3428	2782
552	3433	2775
553	3438	2768
554	3444	2762
555	3450	2755
556	3458	2750
557	3466	2745
558	3474	2740
559	3482	2736
560	3490	2731
561	3496	2724
562	3501	2718
563	3509	2712
564	3516	2707
565	3523	2701
566	3528	2694
567	3534	2688
568	3541	2682
569	3546	2675
570	3553	2669
571	3558	2662
572	3563	2655
573	3569	2649
574	3574	2642
575	3580	2635
576	3587	2630
577	3593	2623
578	3599	2616
579	3604	2610
580	3609	2603
581	3616	2597
582	3621	2590
583	3626	2583
584	3633	2577
585	3638	2570
586	3643	2563
587	3650	2557
588	3656	2551
589	3662	2544
590	3668	2538
591	3673	2531
592	3678	2524
593	3684	2518
594	3689	2511
595	3695	2504
596	3700	2498
597	3705	2491
598	3712	2485
599	3717	2478
600	3722	2471
601	3727	2464
602	3732	2457
603	3738	2450
604	3743	2444
605	3748	2437
606	3755	2431
607	3762	2425
608	3767	2419
609	3774	2413
610	3781	2407
611	3787	2401
612	3793	2394
613	3798	2388
614	3803	2381
615	3809	2374
616	3814	2367
617	3819	2360
618	3825	2354
619	3830	2347
620	3836	2341
621	3843	2335
