iter	RMSE
129	341594.0086
130	340024.4626
131	337666.5222
132	335731.4484
133	334603.7493
134	333048.8429
135	331827.7788
136	330376.1738
137	328556.4982
138	326581.4866
139	324923.4847
140	322564.7948
141	320582.3295
142	319175.4411
143	317900.9906
144	316058.9968
145	314190.3575
146	312224.0199
147	310812.515
148	309658.0566
149	308188.386
150	306375.2976
151	304925.5674
152	303434.5128
153	302617.2508
154	301511.7097
155	299870.4532
156	298481.2183
157	297679.7502
158	296288.889
159	294764.9605
160	293711.3138
161	292066.1761
162	290691.491
163	289424.8019
164	288451.8943
165	287559.9861
166	286349.11
167	285148.3508
168	283658.7694
169	281928.3568
170	280562.1819
171	279181.11
172	277849.1642
173	276859.7782
174	275963.6853
175	274819.9128
176	273504.0003
177	272162.7107
178	270811.6728
179	269738.2701
180	269080.1646
181	268290.9008
182	266886.1501
183	265568.8759
184	264649.9537
185	263476.7851
186	262620.8831
187	261630.8087
188	260513.1395
189	259156.4408
190	258235.6727
191	257311.479
192	256393.8943
193	255726.2919
194	254851.1973
195	253495.2802
196	252209.3458
197	251373.4401
198	250472.5778
199	249682.4282
200	248869.0769
201	248068.5782
202	247235.274
203	246396.3547
204	245820.1594
205	244669.2857
206	243850.9918
207	242967.272
208	242253.8305
209	241498.3989
210	240568.9403
211	239893.3423
212	238751.1413
213	238160.2804
214	237115.5004
215	236276.8455
216	235680.5696
217	234862.4966
218	233876.3786
219	232939.3456
220	232003.3093
221	231367.6046
222	230630.081
223	229984.6776
224	229077.8431
225	228466.6261
226	227949.174
227	227352.6783
228	226454.6547
229	225711.8563
230	225118.5185
231	224571.3847
232	223906.0006
233	223360.3331
234	222252.1741
235	221778.3084
236	221354.477
237	220730.4373
238	220273.8749
239	219508.279
240	219013.8059
241	218378.0896
242	217808.7777
243	216977.9065
244	216358.8407
245	215669.5035
246	215143.1843
247	214585.3056
248	214011.9473
249	213349.4091
250	212814.8281
251	212336.9769
252	211742.2844
253	211045.3231
254	210393.5983
255	209903.9259
256	209229.0126
257	208609.3163
258	208152.8146
259	207622.3006
260	207221.5271
261	206593.5059
262	206241.2045
263	205895.4706
264	205414.3573
265	204980.8499
266	204338.5068
267	203765.9015
268	203175.6188
269	202777.5271
270	202357.5953
271	201926.5772
272	201508.042
273	200844.7599
274	200427.7012
275	199939.7053
276	199472.2838
277	199196.3468
278	198814.4515
279	198315.3249
280	197756.3737
281	197258.6436
282	196789.5767
283	196363.065
284	195843.5155
285	195388.2357
286	194791.1141
287	194295.0192
288	193874.0937
289	193477.4904
290	193027.6267
291	192662.7607
292	192272.4364
293	191740.8589
294	191128.6249
295	190541.119
296	190080.3224
297	189599.0913
298	189120.0681
299	188706.6523
300	188184.9501
301	187791.7563
302	187363.0291
303	187022.4563
304	186645.0507
305	186254.7207
306	185835.7342
307	185533.9692
308	185171.367
309	184632.4921
310	184303.4989
311	183923.6853
312	183531.116
313	183059.5354
314	182761.8937
315	182422.0989
316	182009.629
317	181534.7182
318	181112.3097
319	180588.6727
320	180178.6551
321	179916.7179
322	179600.7186
323	179296.1565
324	178766.6936
325	178500.7874
326	178157.1749
327	177844.1848
328	177535.1733
329	177157.262
330	176880.3799
331	176415.9402
332	176094.7192
333	175729.9974
334	175398.2054
335	174979.292
336	174596.3112
337	174301.437
338	173802.8624
339	173377.0411
340	173094.7094
341	172700.0154
342	172430.6527
343	172047.9034
344	171648.5257
345	171253.4553
346	170942.4523
347	170671.8109
348	170414.896
349	170066.7025
350	169694.4039
351	169280.5977
352	168952.2557
353	168599.0705
354	168379.5925
355	168071.5028
356	167836.5608
357	167515.3987
358	167179.7546
359	166925.3545
360	166631.3137
361	166289.9341
362	166025.6379
363	165671.6261
364	165396.1037
365	165208.4547
366	164861.1263
367	164572.315
368	164278.0565
369	164000.9514
370	163651.1053
371	163378.217
372	163131.76
373	162907.717
374	162596.4266
375	162323.0797
376	161969.9224
377	161712.5755
378	161446.8702
379	161119.019
380	160734.9993
381	160467.8648
382	160225.0643
383	160009.2189
384	159777.644
385	159507.2869
386	159278.9664
387	159027.0036
388	158774.439
389	158508.7439
390	158277.743
391	158003.5782
392	157759.6766
393	157464.9269
394	157125.0874
395	156849.3971
396	156518.4963
397	156249.6767
398	155964.6263
399	155751.4131
400	155507.5221
401	155280.9978
402	154982.5634
403	154697.0791
404	154468.8456
405	154245.8147
406	153972.076
407	153727.6926
408	153469.7898
409	153197.8122
410	152981.4546
411	152756.5735
412	152494.4354
413	152271.0038
414	151831.7853
415	151428.7229
416	151193.4579
417	150873.0245
418	150562.782
419	150279.1729
420	150021.1293
421	149746.76
422	149538.1961
423	149243.7706
424	149023.5085
425	148815.6251
426	148616.1577
427	148448.9897
428	148265.2162
429	148054.182
430	147850.0851
431	147661.369
432	147488.5406
433	147251.65
434	146917.3089
435	146718.5568
436	146548.3094
437	146274.3843
438	146088.6602
439	145817.9189
440	145527.1132
441	145322.4447
442	145141.656
443	144979.0291
444	144793.4319
445	144600.7509
446	144386.7177
447	144052.0542
448	143871.9587
449	143667.201
450	143418.1779
451	143064.8169
452	142876.4791
453	142520.7428
454	142283.803
455	142107.823
456	141926.8505
457	141673.0137
458	141478.4935
459	141260.1928
460	141079.2325
461	140896.6972
462	140749.6518
463	140465.1621
464	140268.649
465	140095.6237
466	139934.9743
467	139799.3845
468	139596.9255
469	139395.7387
470	139141.3843
471	138883.0962
472	138754.9761
473	138513.8018
474	138360.252
475	138205.758
476	138019.2838
477	137844.0432
478	137706.8401
479	137522.8217
480	137300.7408
481	137095.0585
482	136828.0313
483	136629.755
484	136389.6283
485	136227.1737
486	135997.6569
487	135825.4765
488	135674.7098
489	135496.4799
490	135342.6258
491	135118.7386
492	134944.8626
493	134743.2996
494	134510.4182
495	134329.1243
496	134095.1092
497	133850.5336
498	133708.6128
499	133491.334
500	133230.4546
501	133084.2341
502	132935.6669
503	132769.1638
504	132621.4439
505	132475.7563
506	132278.1135
507	132085.35
508	131897.0398
509	131663.7775
510	131536.9988
511	131425.4526
512	131158.0365
513	131009.8729
514	130809.2172
515	130620.0146
516	130501.5066
517	130356.9291
518	130205.1616
519	129917.9814
520	129717.0138
521	129598.4669
522	129389.8897
523	129159.0202
524	128932.1445
525	128796.0666
526	128604.7544
527	128504.0176
528	128233.5596
529	128010.1559
530	127886.0524
531	127738.5519
532	127545.3385
533	127343.576
534	127141.7169
535	127007.2512
536	126886.8388
537	126742.1011
538	126528.8455
539	126331.8448
540	126103.2837
541	125999.5283
542	125851.0036
543	125709.6443
544	125522.6331
545	125414.8501
546	125260.47
547	125115.7997
548	124982.1459
549	124860.3042
550	124672.9995
551	124496.622
552	124336.1648
553	124167.5511
554	123936.4466
555	123755.7348
556	123655.0819
557	123526.9371
558	123381.5417
559	123240.4573
560	123035.0698
561	122867.5448
562	122718.3461
563	122572.1019
564	122477.8492
565	122373.0268
566	122275.1546
567	122095.5114
568	121932.9508
569	121790.5982
570	121616.3905
571	121488.7837
572	121323.6528
573	121157.3409
574	121010.3294
575	120874.8506
576	120711.3754
577	120556.1952
578	120463.8819
579	120294.3499
580	120166.7481
581	120084.228
582	119918.0002
583	119770.0726
584	119557.7172
585	119413.683
586	119228.5235
587	119123.2321
588	118922.1559
589	118714.3028
590	118508.7368
591	118391.677
592	118204.0521
593	118057.7354
594	117937.1927
595	117783.176
596	117668.0056
597	117527.1296
598	117410.3585
599	117279.9057
600	117099.2533
601	116972.7391
602	116875.5968
603	116728.0672
604	116593.3983
605	116413.6937
606	116249.4721
607	116092.895
608	115980.1253
609	115885.309
610	115702.0603
611	115596.939
612	115438.4813
613	115282.6486
614	115154.8365
615	115074.098
616	114976.3877
617	114879.3312
618	114720.6895
619	114593.692
620	114513.0054
621	114337.9274
622	114257.2714
623	114118.7186
624	113963.0447
625	113844.5906
626	113753.7399
627	113649.7313
628	113475.1437
629	113367.1695
630	113191.1201
631	113031.2804
632	112884.3006
633	112713.4628
634	112578.3419
635	112421.1771
636	112308.6192
637	112115.1353
638	111992.7056
639	111921.3007
640	111832.9751
641	111735.7082
642	111668.3731
643	111546.1496
644	111342.1651
645	111209.1073
646	111106.6954
647	110983.587
648	110837.7388
649	110715.4861
650	110575.6308
651	110487.4793
652	110410.3546
653	110277.1517
654	110116.0575
655	109992.835
656	109870.5172
657	109784.4017
658	109698.6201
659	109562.4816
660	109444.5566
661	109347.9555
662	109248.2431
663	109067.5335
664	108967.9528
665	108867.035
666	108718.2216
667	108641.0632
668	108512.8667
669	108426.1372
670	108312.1787
671	108168.5012
672	108051.4493
673	107963.4749
674	107877.1207
675	107757.8521
676	107672.7387
677	107551.5333
678	107388.9909
679	107267.1
680	107155.6739
681	107055.7346
682	106936.6118
683	106869.7524
684	106795.2472
685	106633.7243
686	106513.2685
687	106322.4903
688	106205.5406
689	106136.2332
690	106068.9601
691	106001.4253
692	105877.3429
693	105799.2726
694	105671.6793
695	105519.6605
696	105408.0774
697	105303.7696
698	105205.5347
699	105111.2519
700	105009.68
701	104906.9919
702	104789.6637
703	104708.492
704	104622.5774
705	104552.9769
706	104469.5835
707	104366.4544
708	104269.2861
709	104139.2271
710	104039.9776
711	103907.3647
712	103771.2036
713	103671.2051
714	103610.4616
715	103547.4293
716	103393.5089
717	103255.1083
718	103132.5988
719	103062.4201
720	102996.8273
721	102894.7666
722	102804.105
723	102732.8036
724	102621.8597
725	102517.5672
726	102394.0855
727	102328.7503
728	102215.4566
729	102112.1284
730	102023.2466
731	101963.4892
732	101896.577
733	101789.958
734	101677.2064
735	101627.2347
736	101566.7497
737	101497.672
738	101398.3581
739	101286.9372
740	101195.2318
741	101084.3004
742	100948.3813
743	100867.9801
744	100802.9138
745	100636.5612
746	100508.8752
747	100417.7256
748	100286.3435
749	100175.4336
750	100018.9275
751	99930.91551
752	99866.11664
753	99754.53614
754	99641.77136
755	99550.36159
756	99401.78928
757	99322.16331
758	99220.27852
759	99096.80763
760	99009.35609
761	98879.56575
762	98797.97331
763	98729.52287
764	98641.66941
765	98565.38256
766	98474.62769
767	98408.16533
768	98283.97139
769	98194.9962
770	98087.79641
771	98001.03367
772	97936.23196
773	97847.87231
774	97748.08836
775	97674.23072
776	97610.49538
777	97478.72199
778	97419.81106
779	97332.79512
780	97251.28974
781	97165.55042
782	97044.89243
783	96928.83555
784	96852.73133
785	96772.62514
786	96673.79123
787	96574.98543
788	96480.03415
789	96391.69049
790	96316.60809
791	96234.00148
792	96145.51733
793	96053.22683
794	95974.24582
795	95891.23903
796	95822.17737
797	95717.70492
798	95636.22067
799	95526.0003
800	95448.55621
801	95374.66256
802	95290.82564
803	95183.76999
804	95125.0378
805	94999.81644
806	94949.48834
807	94861.99863
808	94767.08047
809	94699.44251
810	94608.14731
811	94550.40509
812	94490.98436
813	94373.32206
814	94309.22881
815	94225.29147
816	94155.0582
817	94100.67437
818	94008.72211
819	93908.98622
820	93824.68676
821	93716.06962
822	93639.28483
823	93563.66236
824	93424.20561
825	93348.14495
826	93217.1664
827	93165.34888
828	93075.07503
829	93021.54248
830	92900.19505
831	92783.79865
832	92684.80816
833	92610.11561
834	92531.72029
835	92445.1349
836	92341.68828
837	92265.53208
838	92207.37314
839	92146.06232
840	92038.22934
841	91988.90068
842	91896.42443
843	91836.22202
844	91757.72294
845	91698.52278
846	91639.86009
847	91580.60258
848	91467.69142
849	91405.06346
850	91348.33182
851	91265.21932
852	91213.42242
853	91168.30603
854	91040.15159
855	90995.32914
856	90895.2223
857	90795.53121
858	90685.49307
859	90614.64013
860	90505.39359
861	90424.03789
862	90357.14197
863	90276.91552
864	90214.63416
865	90099.35597
866	90041.29091
867	89982.69749
868	89875.33503
869	89789.15572
870	89667.24186
871	89589.09313
872	89533.85182
873	89474.74327
874	89374.27012
875	89280.67032
876	89173.3534
877	89104.00658
878	89002.31308
879	88910.79411
880	88831.61262
881	88783.62179
882	88697.32264
883	88619.32893
884	88540.97957
885	88489.68962
886	88410.05681
887	88330.70991
888	88267.10656
889	88199.49553
890	88114.36827
891	88045.02997
892	87975.12903
893	87894.87493
894	87833.93968
895	87774.60325
896	87682.34219
897	87585.84656
898	87519.7515
899	87463.44276
900	87362.09697
901	87299.77511
902	87201.13359
903	87119.01347
904	87056.67123
905	86980.8621
906	86935.35028
907	86855.27432
908	86801.76573
909	86754.89068
910	86683.73639
911	86581.37577
912	86508.48499
913	86462.60042
914	86377.34141
915	86315.23725
916	86230.02289
917	86183.54017
918	86121.07643
919	86063.85241
920	85972.96424
921	85913.12828
922	85843.99539
923	85760.8927
924	85693.53437
925	85633.84669
926	85526.00216
927	85459.01689
928	85368.25343
929	85304.42839
930	85226.0312
931	85154.33277
932	85095.34887
933	84998.87695
934	84924.15565
935	84847.33865
936	84751.05547
937	84680.00117
938	84606.738
939	84531.3342
940	84459.20781
941	84408.15577
942	84328.90384
943	84270.7107
944	84210.98673
945	84145.83785
946	84098.51396
947	84059.35546
948	83966.33434
949	83909.51118
950	83846.35774
951	83770.68244
952	83712.39206
953	83644.61937
954	83597.11653
955	83504.57933
956	83456.54846
957	83413.86269
958	83348.85063
959	83281.58122
960	83224.46621
961	83161.52593
962	83118.64457
963	83083.17295
964	82993.87089
965	82932.26723
966	82864.68134
967	82778.26147
968	82724.58623
969	82685.60529
970	82649.80737
971	82551.62074
972	82500.43741
973	82426.05629
974	82376.78821
975	82288.01277
976	82208.46889
977	82142.31153
978	82097.00543
979	82044.74966
980	81999.47688
981	81914.50642
982	81871.42202
983	81828.95793
984	81761.86493
985	81720.37552
986	81644.04008
987	81608.55705
988	81562.49285
989	81508.3009
990	81440.14461
991	81376.2528
992	81309.29386
993	81250.77755
994	81190.05067
995	81100.53532
996	81063.72203
997	81009.66507
998	80968.9417
999	80903.20033
